datetime,Coxs bazar,Bandarban,Chattogram,Rangamati,Khagrachari,Feni,Chandpur,Cumilla,Brahmanbaria,Kishoreganj,Gazipur,Tangail,Dhaka,Faridpur,Gopalganj,Barishal,Barguna,Pirojpur,Khulna,Jashore,Jhenaidah,Meherpur,Pabna,Rajshahi,Bogura,Naogaon,Dinajpur,Panchagarh,Rangpur,Gaibandha,Sherpur,Mymensingh,Sunamganj,Sylhet,Moulvibajar,Habiganj
01/10/2012 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2012 13:00,5,6,4,5,6,4,5,6,7,5,2,5,8,4,6,5,4,7,5,8,4,7,5,4,4,3,4,7,7,7,7,7,8,8,8,8
01/10/2012 14:00,7,7,7,7,4,4,4,2,4,4,3,3,3,4,3,4,4,4,4,3,3,3,4,3,4,3,4,7,7,7,7,7,8,8,8,8
01/10/2012 15:00,7,7,7,7,4,4,4,2,4,3,3,3,3,4,3,4,4,4,4,3,3,3,4,3,3,3,3,7,7,7,7,7,8,8,8,8
01/10/2012 16:00,7,7,7,7,4,4,4,2,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,7,7,7,7,7,8,8,8,8
01/10/2012 17:00,6,6,6,6,4,4,4,2,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,6,6,6,6,6,8,8,8,8
01/10/2012 18:00,6,6,6,6,4,4,4,2,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,6,6,6,6,6,8,8,8,8
01/10/2012 19:00,6,6,6,6,4,4,4,2,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,6,6,6,6,6,8,8,8,8
01/10/2012 20:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,6,6,6,6,6,8,8,8,8
01/10/2012 21:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,6,6,6,6,6,8,8,8,8
01/10/2012 22:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,6,6,6,6,6,8,8,8,8
01/10/2012 23:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,6,6,6,6,6,8,8,8,8
02/10/2012 00:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2,3,2,6,6,6,6,6,8,8,8,8
02/10/2012 01:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2,3,2,6,6,6,6,6,8,8,8,8
02/10/2012 02:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2,3,2,6,6,6,6,6,9,9,9,9
02/10/2012 03:00,6,6,6,6,4,4,4,1,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2,3,2,6,6,6,6,6,9,9,9,9
02/10/2012 04:00,6,6,6,6,4,4,4,1,4,2,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2,3,2,6,6,6,6,6,9,9,9,9
02/10/2012 05:00,6,6,6,6,4,4,4,0,4,2,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2,3,2,6,6,6,6,6,9,9,9,9
02/10/2012 06:00,6,6,6,6,4,4,4,0,4,2,3,3,3,3,4,3,3,4,4,3,3,3,4,5,2,3,2,6,6,6,6,6,9,9,9,9
02/10/2012 07:00,6,6,6,6,4,4,4,0,4,2,3,3,3,3,4,3,3,4,4,3,3,3,4,5,2,3,2,6,6,6,6,6,9,9,9,9
02/10/2012 08:00,6,6,6,6,4,4,4,0,4,2,3,3,3,2,4,2,2,4,4,3,3,3,4,5,2,3,2,6,6,6,6,6,9,9,9,9
